ADBCode,Description,Date and Version Number,Completed
AID9000,Arm Retainer - J Shaped,,
AID9001,"AID, positioning, gel beanbag, large",,
AID9003,Azure Heel Protector (AZ401) - Infant / Adolescent / Adult - 190 x 175 x 30mm,,
AID9004,"AID, positioning, arm protectors",,
AID9005,"AID, positioning, Omnidirectional Tube Support",,
AID9007,Azure Head Protector (AZ100) - Infant / Adolescent / Adult - 260 x 250 x 50mm,,
AID9007a,Oasis Elite Open Head Ring (EL022) - Adult - 200 x 50mm,,
AID9008,"AID, positioning, closed head ring",,
ANA001,"ANAESTHETIC MACHINE/WORKSTATION electrically powered piston ventilator, mobile, 1350H 750W 650D",07/03/23 v0.1,Done
ANA004,"ANAESTHETIC MACHINE/WORKSTATION with ventilator, with accessories and PC, mobile, 1580H 565W 695D",07/03/23 v0.1,Done
ANA007,"ANAESTHETIC MACHINE/WORKSTATION, MRI compatible, supplied complete with trolley, shelf, ventilator with breathing circuit and 1 x vaporiser",07/03/23 v0.1,Done
ANA9000,"ANALYSER, urine",07/03/23 v0.1,Done
ANA9009,"ANALYSER, Haemoglobin, 1500x700",,
ANA9019,"ANALYSER, blood gas with electrolytes, 450H 250W 290D",,
AUR-01,"DIAGNOSTIC SET, with power (AUR9000 x1, OUT056 x1)",,
BAG9000,"BAG, bean",17/04/23 v0.1,Done
BAS-01,"HANDWASH, Clinical Wash Hand Basin, non sensor (medium) (BAS101 x1, TAP826 x1, WAS107 x1, BIN9004 x1, DIS013 x1, DIS030 x1, OUT001 x1)",,
BAS-03,"HANDWASH, Non Clinical Wash Hand Basin (medium) (BAS106 x1, DIS013 x1, DIS030 x1, BIN9004 x1, TAP289 x1, WAS100 x1, WAS107 x1)",,
BAS-06,"HANDWASH, Non Clinical Wash Hand Basin (medium) (BAS106 x1, DIS013 x1, DIS030 x1, TAP289 x1, WAS100 x1, WAS107 x1)",,
BAS-07,"HANDWASH, Non Clinical Wash Hand Basin (large) (BAS108 x1, DIS013 x1, DIS030 x1, TAP289 x1, WAS100 x1, WAS107 x1)",,
BAS-10,"HANDWASH, MRI Compatible Clinical Wash Hand  Basin (medium) (BAS101 x1, TAP9000 x1, WAS9003 x1, WAS9004 x1, HOL9000 x1, DIS9005 x1, DIS9006 x1)",,
BED-01,"BED UNIT, Bariatric (BED9000 x1, MAT9000 x1, TAB073 x1)",,
BED015,"BED variable height, two-way tilt, adjustable backrest and knee-break, built-in bed extension with mattress retainer, electrically operated, on castors, 380-780H 2260/2430L 1010W",10/03/2023 v0.1,Done
BED-04,"BED variable height, two-way tilt, electrically operated (BED015 x1, MAT008 x1, TAB073 x1, OUT006 x1)",,
BED040,"BED HEAD BUFFER/DOCKING device, bed and wall protection, horizontal, wall mounted, (internal clearance 1000-1400)",17/04/19 v0.1,
BED9127,BEDHEAD SERVICES UNIT - Vertical TRUNKING MOUNTED incorporating:,,
, 1x Handset parking bracket,,
, 1x Handset parking clip,,
BHD-01,"BEDHEAD SERVICES UNIT, Inpatient Single Bedroom (BED040 x1, BED9126 x1,  BRA003 x1, CAL047 x1, CAL050 x1, OUT010 x4, OUT131 x4, OUT453x1, OUT470 x1, OUT475 x1)",,
BHD-06,"BEDHEAD SERVICES UNIT, Major Treatment/Plaster Room, A&E (BED9122 x1, BED040 x1, BRA004 x1, CAL047 x1, OUT9010 x6, OUT131 x3, OUT9470 x1, OUT9461 x1, OUT9453 x1, OUT9475 x1, OUT9480 x1)",,
BHD-08,"BEDHEAD SERVICES UNIT, Anaesthetic Room, Surgical Procedures (BED9122 x1, BED040 x1, BRA004 x1, CAL047 x1, OUT9461 x1, OUT9480 x1, OUT9453 x1, OUT9470 x1, OUT9475 x1, OUT9010 x4, OUT131 x2)",,
BHD-09,"BEDHEAD SERVICES UNIT, Post Anaesthetic Recovery Bay, Surgical Procedures (BED9122 x1, BED040 x1, BRA003 x1, CAL047 x1, OUT151 x1, OUT131 x2, OUT9010 x6, OUT9475 x2, OUT9470 x2, OUT9453 x2)",,
BHD-14,"BEDHEAD SERVICES A&E Treatment Bay/Room (BED040 x1, BED9127 x1, OUT010 x6, OUT131 x4, OUT470 x1, OUT475 x1, CAL047 x1, CAL050 x1, CAL034 x1)",,
BIN003,"BIN, disposal, general purpose, liner, mobile",,
BIN9000,"BIN, sanitary towel disposal",17/04/19 v0.1,
BIN9004,"BIN, small, 30 Ltr , approx 640H 340W 210D",,
BIN9005,"BIN, medium, 70 Ltr , approx 875H 430W 385D",12/04/2023 v0.1,Done
BLI9002,"BLIND, laser type, to suit window",17/04/19 v0.1,
BOA006,"BOARD, marker, whiteboard, dry-wipe, with pen holder, wall mounted, 1200H1800W",07/03/23 v0.1,Done
BOA034,"BOARD, marker, whiteboard, dry-wipe, with pen holder, wall mounted, 600H 900W",07/03/23 v0.1,Done
BOA037,"BOARD, marker, whiteboard, dry-wipe, with pen holder, wall mounted, 900H 1200W",10/03/2023 v0.1,Done
BOA9008,"BOARD, marker, whiteboard, dry-wipe, magnetic, with pen holder, patient information, wall mounted, 450H 600W",10/03/2023 v0.1,Done
BOA9010,"BOARD, swabs/sharps count, fluid loss, 1200H 1800W",10/03/2023 v0.1,Done
BRA9000,"BRACKET, sharps bin, wall mounted",17/04/19 v0.1,
BRA9006,"BRACKET, Pat slide, wall mounted",v0.1,Done
BRA9007,"BRACKET, wall mounted, for vital signs monitor",10/03/2023 v0.1,Done
BRA9014,"BRACKET, for patient vital signs slave monitor, wall mounted",17/04/23 v0.1,Done
BUC003,"BUCKET, plaster, with stand, mobile, 900H 300 dia.",,
CAB-01,"CABINET, lotion, 48x1 litre heated with connection unit (CAB036 x1, OUT052 x1)",,
CAB030,"CABINET warming, blankets, stainless steel, 21 cuft",07/03/23 v0.1,Done
CAB401,"CABINET, mobile, ENT  examination workstation with suction headlight source and cautery",10/03/2023 v0.1,Done
CAB402,"CABINET, mobile, ENT workstation, with scope attachments and lights",10/03/2023 v0.1,Done
CAB9019,"CABINET, contrast media warming, approx 670H 425W 425D",V0.1,
CAL002,"PUSH BUTTON patient/staff call, wall mounted",,
CAL005,CEILING PULL CORD patient/staff call,,
CAL007,"PULL/PUSH BUTTON, staff emergency call, reset and integral/adjacent indicator lamp",,
CAL012,"RESET UNIT, with repeat lamp, patient/staff call",,
CAL034,"LAMP, repeat call, patient/staff or staff emergency or cardiac call",,
CAL035,"LAMP repeat call (patient/staff or staff emergency or Cardiac call), ceiling mounted",10/03/2023,Done
CAL047,"PUSH BUTTON staff emergency call, reset and integral/adjacent indicator lamp, trunking mounted",,
CAL048,"PULL/PUSH BUTTON, staff emergency call, reset and integral/adjacent indicator lamp, tamper-proof",,
CAL9003,"PUSH BUTTON patient/staff call with socket for extension pear push, wall/trunking mounted",,
CAL9007,"PUSH BUTTON staff emergency call, reset and integral/adjacent indicator lamp, wall/trunking mounted",10/03/2023,Done
CAM-02,"CAMERA, CCTV, with outlets (CAM034 x1, OUT121 x1)",,
CAN010,"CANOPY ultra clean ventilation (UCV), operating theatre, 2000mm clear from floor level underside, 3200W 3200D",17/04/19 v0.1,
CAS011,"CASE, trial lens, for use with electric ophthalmoscope",,
CHA003,"CHAIR, height adjustable 540-790, tilting back, adjustable footrest, swivel, 5 star base, on glides",,
CHA-01,"CHAIR, treatment, ophthalmology (CHA9001 x1, OUT9009 x1)",,
CHA301,"CHAIR, swivel, height adjustable, high back, with arms, wipeable, 5 star base, on castors",17/04/19 v0.1,
CHA304,"CHAIR, swivel, height adjustable, medium back, wipeable, 5 star base, on glides",,
CHA306,"CHAIR, easy, low back, with open arms, upholstered, wipeable",,
CHA307,"CHAIR, easy, high back, with open arms, upholstered, wipeable",17/04/19 v0.1,
CHA317,"CHAIR, upright, upholstered, stacking, wipeable",17/04/23 v0.1,Done
CHA318,"CHAIR, upright, with arms, upholstered, stacking, wipeable",17/04/23 v0.1,Done
CHA323,"CHAIR, upright, wood, wipeable.",17/04/23 v0.1,Done
CHA324,"CHAIR, anaesthetist, wipeable, height adjustable.",17/04/23 v0.1,Done
CHA338,"SANI-CHAIR/COMMODE, tubular, metal, wipeable, mobile.",17/04/23 v0.1,Done
CHA356,"CHAIR, venepuncture, wipeable.",10/03/2023 v0.1,Done
CHA367,"UNIT CHAIR, 1 seater, with arms, upholstered, wipeable",17/04/23 v0.1,Done
CHA375,"CHAIR, ENT patient, swivel seat, height adjustable, backrest, headrest, folding armrests, wipeable.",10/03/2023 v0.1,Done
CHA378,"UNIT CHAIR, easy, with arms, fully upholstered, wipeable,",17/04/2023 v0.1,Done
CHA379,"UNIT CHAIR/SETTEE, 2 seater, easy, with arms, fully upholstered, wipeable.",,
CHA383,"CHAIR, stacking, polypropylene, with back and seat pads, wipeable.",,
CHA391,"CHAIR, easy, reclining, wipeable",17/04/19 v0.1,
CHA395,"CHAIR, shower, mobile, wipeable/waterproof.",,
CHA9001,"CHAIR, treatment, ophthalmology, reclining, height adjustable, electro-mechanical, 1600H 500W 700D",,
CHA9004,"CHAIR, unit chair, 3 seater, with arms, upholstered, wipeable, fixed to floor",17/04/23 V0.1,Done
CHA9007,"CHAIR, unit chair, 1 seater, with arms, upholstered, vinyl",17/04/19 v0.1,
CHA9008,"CHAIR, unit chair, 2 seater, with arms, upholstered, vinyl",17/04/19 v0.1,
CHA9016,"CHAIR, bariatric, easy, high back, with open arms, upholstered, wipeable",,
CHA9017,"CHAIR, MRI compatible",v0.1,
CLE008,"SCRUBBING/POLISHING MACHINE, single brush, 110v machine",v0.1,
CLE018,"CLEANER VACUUM, dry suction, tub, with accessories, filtered air exhaust",17/04/19 v0.1,
CLO001,"CLOCK battery, wall mounted",17/04/19 v0.1,
CLO003,"CLOCK synchronous with second sweep hand, wall mounted",17/04/19 v0.1,
CLO004,"CLOCK battery with second sweep hand, wall mounted",,
CLO9000,"CLOCK, with day, date and time. Hard wired",,
COM-05,"MULTIFUNCTIONAL PRINTER (COM9003 x1, OUT131 x1, OUT9010 x1)",,
COM9016,"PACS MONITOR, 32"", touch screen with keyboard, flush mounted",,
CON061,"CONE, warning, 'wet floor'",17/04/19 v0.1,
COU010,"COUCH, examination/treatment, (3 section), variable height, retractable wheels, with paper roll holder",07/03/23 v0.1,Done
COU087,"COUNTER RECEPTION, console top,",,
COU9008,SPONGE COUNTING SYSTEM wall mounted/(mobile on infusion stand) 2356H 635W,V0.1,
CRD051,"CONTROL CONSOLE with 3 screen array, and COMPUTER for catheter laboratories, (Part of CRD021 or CRD023)",,
CRD053,"CONTROL CONSOLE - physiologic monitoring system, cardiac catheterization",,
CRD9008,"Hybrid Imaging System, ceiling mounted",,
CRD9009,"TABLE/COUCH PATIENT, hybrid imaging system, cantilever, radiolucent, floating top, telescoping base, fully adjustable, floor mounted, (Part of CRD9008)",,
CRD9020,"CONTROL CONSOLE, server for Hybrid Imaging System (Part of CRD9008)",,
CRD9021,"MONITOR, 3 screen array for Hybrid Imaging System (Part of CRD9008)",,
CRI-01,"TROLLEY CRIB - BABY, double door cupboard under (TRO286 x1, MAT001 x1)",,
CTH9004,"ACTIVATED COAGULATION TIMER, cath lab",v0.1,
CTH9005,"HAEMOXIMETER, cath lab",17/04/19 v0.1,
CUP212,"CUPBOARD, stationery, metal, shutter front, lockable, 1970H 1000W 470D",17/04/19 v0.1,
CUP9006,"CUPBOARD UNIT, non-ferrous, open, 3 adjustable shelf, on plinth, 850H 1000W 650D",,
CUP9007,"CUPBOARD/DRAWER UNIT, non-ferrous, 2 drawer, 1 adjustable shelf, on plinth, 850H 1000W 650D",,
CUP9008,"CUPBOARD, COSHH, metal, lockable, spillage trays, floor standing, 900H 460W 460D",,
DES-01,"DESK, left handed, cupboard/drawer unit and chair (DES9001 x1, CHA301 x1, DRA056 x1)",,
DES9000,"DESK UNIT, cantilevered, curved(half moon), cable management, right handed, adjustable legs, modesty panel/screen, approx 1600x1200x800mm",,
DIA004,"DIATHERMY UNIT, surgical, monopolar, bipolar, argon compatible, 111H 356W 439D",10/03/2023 v0.1,Done
DIA005,"SMOKE EVACUATION SYSTEM, (diathermy) complete with trolley, 860H 487W 643D",10/03/2023 v0.1,Done
DIS004,"DISPENSER, disposable bedpans, wall mounted",17/04/19 v0.1,
DIS005,"DISPENSER, disposable urine bottles, wall mounted",17/04/19 v0.1,
DIS007,"DISPENSER, paper towel roll, wall mounted",17/04/19 v0.1,
DIS-01,"WATER COOLER/DISPENSER, with power and drain point (DIS002 x1, OUT056 x1, OUT315 x1, OUT342 x1)",,
DIS011,"DISPENSER, barrier cream, disposable single cartridge, wall mounted",17/04/19 v0.1,
DIS013,"DISPENSER, paper towel, wall mounted",17/04/19 v0.1,
DIS015,"DISPENSER, toilet paper, dispense individual sheets, wall mounted",17/04/19 v0.1,
DIS016,"DISPENSER, paper sheet (for couch/trolley), wall mounted",17/04/19 v0.1,
DIS024,"DISPENSER, soap, wall mounted",17/04/19 v0.1,
